id,year,locationName,latitude_eq,longitude_eq,damageAmountOrder,publish,country,regionCode_eq,intensity,deathsAmountOrder,tsunamiEventId,deathsAmountOrderTotal,eqDepth,deaths,housesDestroyedAmountOrder,deathsTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,month,day,volcanoEventId,housesDamagedAmountOrder,injuries,injuriesAmountOrder,injuriesTotal,injuriesAmountOrderTotal,hour,housesDamagedAmountOrderTotal,minute,housesDestroyed,housesDamaged,housesDestroyedTotal,housesDamagedTotal,area,second,damageMillionsDollars,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,damageMillionsDollarsTotal,magnitude_Mw,MagnitudeSource,earthquakeEventId,oceanicTsunami,maxWaterHeight,regionCode_ts,latitude_ts,longitude_ts,same_region
3,-2000,TURKMENISTAN:  W,38.0,58.2,1.0,True,TURKMENISTAN,40,10.0,1.0,,1.0,18.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.827,Ms→Mw,,0,,,,,False
25,-250,KYRGYZSTAN:  CHIGUCHIN,42.7,77.5,3.0,True,KYRGYZSTAN,40,9.0,,,,20.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,6.559000000000001,Ms→Mw,,0,,,,,False
28,-227,GREECE:  DODECANESE ISLANDS,36.3,28.3,1.0,True,GREECE,130,10.0,1.0,3092.0,1.0,100.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.894,Ms→Mw,28.0,1,,50.0,36.3,28.3,False
38,10,TURKMENISTAN:  NISA,38.0,58.3,3.0,True,TURKMENISTAN,40,10.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,None,,0,,,,,False
55,-63,RUSSIA:  PANTIKAPEY,45.2,36.6,3.0,True,RUSSIA,40,8.0,,,,20.0,,,,3.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,6.3580000000000005,Ms→Mw,,0,,,,,False
95,365,GREECE:  CRETE:  KNOSSOS,35.0,23.0,4.0,True,GREECE,130,11.0,3.0,38.0,4.0,70.0,,3.0,5000.0,4.0,3.0,7.0,21.0,,3.0,,,,,,,,,,,,,,,,,,,,7.43,Ms→Mw,95.0,1,,50.0,35.0,23.0,False
109,427,AZERBAIJAN,40.5,46.5,3.0,True,AZERBAIJAN,40,10.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,None,,0,,,,,False
122,500,KAZAKHSTAN,42.7,76.5,3.0,True,KAZAKHSTAN,40,8.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,None,,0,,,,,False
170,735,ARMENIA:  BAYOTSDZOR,39.7,45.5,2.0,True,ARMENIA,40,8.0,,,,16.0,,,,,,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
174,743,RUSSIA:  CASPIAN SEA,42.1,48.2,1.0,True,RUSSIA,40,7.0,,,,20.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.755,Ms→Mw,,0,,,,,False
202,818,AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA,36.8,66.2,3.0,True,AFGHANISTAN,40,8.0,3.0,,3.0,50.0,,,,3.0,,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
218,851,ARMENIA:  DVIN,40.0,44.6,,True,ARMENIA,40,8.0,4.0,,4.0,10.0,12000.0,,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.554,Ms→Mw,,0,,,,,False
225,856,ARMENIA:  DVIN,40.0,44.6,3.0,True,ARMENIA,40,8.0,,,2.0,10.0,,3.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.085,Ms→Mw,,0,,,,,False
234,858,TURKEY; ARMENIA:  DVINA,40.0,44.6,3.0,True,TURKEY,140,,4.0,,,10.0,12000.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.2,None,,0,,,,,False
243,863,TURKEY; ARMENIA:  DVINA,40.0,44.6,2.0,True,TURKEY,140,,3.0,,,10.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.9,None,,0,,,,,False
263,891,IRAN:  ARDABIL,38.3,48.3,3.0,True,IRAN,140,9.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,None,,0,,,,,False
276,942,UZBEKISTAN:  BUKHARA,39.7,64.5,3.0,True,UZBEKISTAN,40,9.0,,,,20.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,6.7,None,,0,,,,,False
282,953,TURKMENISTAN:  NISA,38.0,58.3,3.0,True,TURKMENISTAN,40,10.0,,,,18.0,,,,,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,7.1,None,,0,,,,,False
311,1003,"TURKEY:  KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,2.0,True,TURKEY,140,7.0,3.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,None,,0,,,,,False
335,1042,IRAN:  TABRIZ,38.1,46.3,4.0,True,IRAN,140,9.0,4.0,,4.0,15.0,50000.0,,50000.0,4.0,,11.0,4.0,,,,,,,13.0,,30.0,,,,,,,,,,,,,7.6,None,,0,,,,,False
337,1046,TURKEY:  ANI (ARMENIA),40.5,43.5,3.0,True,TURKEY,140,8.0,3.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,None,,0,,,,,False
372,1088,GEORGIA:  TMOGVI,41.4,43.2,3.0,True,GEORGIA,40,,3.0,,,10.0,,,,,,4.0,22.0,,,,,,,,,,,,,,,,,,,,,,5.3,None,,0,,,,,False
376,1101,IRAN:  KHORASAN,36.0,59.0,,True,IRAN,140,10.0,4.0,,4.0,10.0,60000.0,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,None,,0,,,,,False
379,1102,AFGHANISTAN:  GERAT,35.0,62.1,2.0,True,AFGHANISTAN,40,8.0,,,,15.0,,,,,,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,6.1,None,,0,,,,,False
423,1175,TURKMENISTAN,37.5,65.5,,True,TURKMENISTAN,40,10.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,None,,0,,,,,False
445,1208,TURKMENISTAN:  GURGANDZHE,42.0,60.0,3.0,True,TURKMENISTAN,40,9.0,4.0,,,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,None,,0,,,,,False
447,1209,IRAN:  NISHAPUR,36.0,58.8,3.0,True,IRAN,140,9.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,None,,0,,,,,False
464,1267,IRAN:  NEYSHABUR (NEISHABUR),36.0,58.8,3.0,True,IRAN,140,9.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
472,1275,GEORGIA,42.1,44.2,3.0,True,GEORGIA,40,,3.0,,,28.0,,,,,,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,6.7,None,,0,,,,,False
481,1281,IRAN:  SHADIYAKH,36.1,58.8,3.0,True,IRAN,140,9.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
482,1283,"GEORGIA:  SAMTSKHE, DZHAVAKHET",41.7,43.2,3.0,True,GEORGIA,40,9.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,None,,0,,,,,False
542,1350,"GEORGIA:  CHEGEM GORGE, CHREBALO",43.0,43.0,3.0,True,GEORGIA,40,9.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,None,,0,,,,,False
570,1389,IRAN:  NEYSHABUR,36.2,58.5,3.0,True,IRAN,140,9.0,3.0,,,10.0,,,,,,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
574,1390,UZBEKISTAN:  BUKHARA,39.8,64.4,2.0,True,UZBEKISTAN,40,8.0,1.0,,1.0,20.0,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,6.157,Ms→Mw,,0,,,,,False
583,1405,IRAN:  NEYSHABUR (NISHAPUR),36.0,58.8,4.0,True,IRAN,140,9.0,3.0,,,15.0,,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,6.7,None,,0,,,,,False
626,1471,PERU,-16.3,-71.0,,True,PERU,160,9.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,None,,0,,,,,False
629,1475,KYRGYZSTAN:  BOLOSAGUN,42.6,75.2,2.0,True,KYRGYZSTAN,40,9.0,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.4,None,,0,,,,,False
644,1490,UZBEKISTAN:  SAMARKAND,39.4,67.1,3.0,True,UZBEKISTAN,40,8.0,,,,15.0,,,,,,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
677,1511,"BALKANS NW:  SLOVENIA:  IDRIJA,SKOFJA LOKA",46.2,13.433,3.0,True,SLOVENIA,130,10.0,1.0,157.0,1.0,7.0,15.0,3.0,15.0,3.0,3.0,3.0,26.0,,,,,,,14.0,,30.0,,,,,,,,,,,,,6.425000000000001,Ms→Mw,677.0,1,,50.0,46.2,13.433,False
680,1513,PERU,-17.2,-72.3,,True,PERU,160,8.0,,5488.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,None,680.0,1,,89.0,-17.2,-72.3,False
