year,latitude_eq,longitude_eq,country,regionCode_eq,intensity,eqDepth,magnitude_Mw,oceanicTsunami
-250,42.7,77.5,KYRGYZSTAN,40,9.0,20.0,6.559000000000001,0
-227,36.3,28.3,GREECE,130,10.0,100.0,6.894,1
10,38.0,58.3,TURKMENISTAN,40,10.0,18.0,7.1,0
-63,45.2,36.6,RUSSIA,40,8.0,20.0,6.3580000000000005,0
365,35.0,23.0,GREECE,130,11.0,70.0,7.43,1
427,40.5,46.5,AZERBAIJAN,40,10.0,12.0,6.7,0
500,42.7,76.5,KAZAKHSTAN,40,8.0,20.0,6.7,0
735,39.7,45.5,ARMENIA,40,8.0,16.0,5.8,0
743,42.1,48.2,RUSSIA,40,7.0,20.0,5.755,0
818,36.8,66.2,AFGHANISTAN,40,8.0,50.0,7.095000000000001,0
851,40.0,44.6,ARMENIA,40,8.0,10.0,5.554,0
856,40.0,44.6,ARMENIA,40,8.0,10.0,5.085,0
858,40.0,44.6,TURKEY,140,,10.0,5.2,0
863,40.0,44.6,TURKEY,140,,10.0,4.9,0
891,38.3,48.3,IRAN,140,9.0,20.0,6.3,0
942,39.7,64.5,UZBEKISTAN,40,9.0,20.0,6.7,0
953,38.0,58.3,TURKMENISTAN,40,10.0,18.0,7.1,0
1003,40.5,43.3,TURKEY,140,7.0,20.0,4.2,0
1042,38.1,46.3,IRAN,140,9.0,15.0,7.6,0
1046,40.5,43.5,TURKEY,140,8.0,15.0,5.5,0
1088,41.4,43.2,GEORGIA,40,,10.0,5.3,0
1101,36.0,59.0,IRAN,140,10.0,10.0,6.5,0
1102,35.0,62.1,AFGHANISTAN,40,8.0,15.0,6.1,0
1175,37.5,65.5,TURKMENISTAN,40,10.0,15.0,7.1,0
1208,42.0,60.0,TURKMENISTAN,40,9.0,10.0,6.1,0
1209,36.0,58.8,IRAN,140,9.0,10.0,7.6,0
1267,36.0,58.8,IRAN,140,9.0,10.0,5.8,0
1275,42.1,44.2,GEORGIA,40,,28.0,6.7,0
1281,36.1,58.8,IRAN,140,9.0,10.0,5.8,0
1283,41.7,43.2,GEORGIA,40,9.0,14.0,6.3,0
1350,43.0,43.0,GEORGIA,40,9.0,20.0,6.5,0
1389,36.2,58.5,IRAN,140,9.0,10.0,5.8,0
1390,39.8,64.4,UZBEKISTAN,40,8.0,20.0,6.157,0
1405,36.0,58.8,IRAN,140,9.0,15.0,6.7,0
1471,-16.3,-71.0,PERU,160,9.0,25.0,8.0,0
1475,42.6,75.2,KYRGYZSTAN,40,9.0,5.0,6.4,0
1490,39.4,67.1,UZBEKISTAN,40,8.0,15.0,5.8,0
1511,46.2,13.433,SLOVENIA,130,10.0,7.0,6.425000000000001,1
1513,-17.2,-72.3,PERU,160,8.0,30.0,8.7,1
1530,10.5,-64.2,VENEZUELA,90,10.0,10.0,8.0,1
1552,-16.6,-71.3,PERU,160,9.0,30.0,7.6,0
1555,-11.9,-77.6,PERU,160,7.0,30.0,8.4,0
1580,51.019,1.309,UK,120,,33.0,6.3,1
1581,-14.1,-71.5,PERU,160,10.0,15.0,6.4,0
1582,-16.6,-71.6,PERU,160,10.0,30.0,7.564,1
1582,-12.2,-77.6,PERU,160,7.0,30.0,7.8,0
1584,-11.8,-77.8,PERU,160,7.0,30.0,7.698,1
1586,-12.3,-77.7,PERU,160,10.0,60.0,8.5,1
1590,-17.2,-72.9,PERU,160,7.0,40.0,7.229000000000001,1
1600,-16.8,-70.9,PERU,160,11.0,20.0,7.9,0
1600,-16.6,-70.8,PERU,160,10.0,20.0,8.1,0
1604,-17.88,-70.94,PERU,160,11.0,30.0,7.765000000000001,1
1609,-11.9,-77.4,PERU,160,8.0,40.0,8.6,0
1619,-7.941,-79.038,PERU,160,9.0,40.0,7.832000000000001,0
1620,40.9,71.4,UZBEKISTAN,40,9.0,6.0,5.8,0
1628,46.0,15.5,SLOVENIA,130,8.0,6.0,5.0,0
1630,-12.2,-77.5,PERU,160,7.0,30.0,8.1,0
1640,38.2,46.3,IRAN,140,7.0,15.0,5.1,0
1652,42.1,47.7,RUSSIA,40,9.0,10.0,5.956,0
1655,-12.3,-77.6,PERU,160,10.0,30.0,7.229000000000001,1
1664,-14.1,-75.8,PERU,160,10.0,15.0,7.3,1
1667,40.6,48.6,AZERBAIJAN,40,10.0,12.0,6.693,0
1669,40.6,48.6,AZERBAIJAN,40,9.0,5.0,5.7,0
1678,-9.0,-79.0,PERU,160,9.0,40.0,7.698,1
1679,40.1,44.7,TURKEY,140,,15.0,5.9,0
1687,-13.5,-76.5,PERU,160,10.0,30.0,7.765000000000001,1
1688,43.7,44.7,RUSSIA,40,7.0,15.0,5.621,0
1689,-2.2,-78.9,ECUADOR,160,10.0,5.0,6.8,0
1699,45.6,15.3,SLOVENIA,130,8.0,6.0,5.0,0
1699,-12.1,-76.6,PERU,160,7.0,40.0,7.8,0
1707,-13.9,-72.1,PERU,160,10.0,10.0,5.8,0
1716,41.2,80.3,CHINA,40,9.0,30.0,7.095000000000001,0
1716,-17.2,-71.2,PERU,160,9.0,40.0,8.8,0
1716,-13.7,-76.0,PERU,160,10.0,50.0,8.6,0
1725,-9.0,-79.0,PERU,160,9.0,60.0,7.229000000000001,0
1725,-16.4,-70.8,PERU,160,7.0,3.0,7.161999999999999,0
1725,56.5,118.5,RUSSIA,40,11.0,50.0,8.2,0
1735,2.6,-76.5,COLOMBIA,160,,20.0,5.085,0
1737,55.5,163.0,RUSSIA,50,10.0,20.0,7.8,0
1737,50.0,157.0,RUSSIA,50,9.0,50.0,7.5,1
1742,53.3,104.0,RUSSIA,40,10.0,40.0,7.7,0
1742,50.5,157.0,RUSSIA,50,,40.0,7.5,1
1746,-11.996,-77.198,PERU,160,11.0,30.0,7.43,1
